,station,week,zaterdag,zondag,lat,lng,station_link
561,TERHAGEN,164,9,9,50.9014736,3.896213699999999,Terhagen
562,TERNAT,982,178,223,50.87449609999999,4.1658879,Ternat
563,TESTELT,285,35,106,51.0096649,4.9469799000000005,Testelt
564,THEUX,125,76,33,50.5361485,5.81502,Theux
565,THIEU,78,29,18,50.4695723,4.097750100000002,Thieu
566,THUIN,232,56,89,50.3424089,4.28816,Thuin
567,THULIN,227,40,45,50.423297,3.7450417,Thulin
568,TIELEN,713,164,172,51.2415482,4.894076399999999,Tielen
569,TIELT,1074,368,425,50.9905827,3.3296300000000003,Tielt
570,TIENEN,4708,1312,1042,50.8079122,4.9261493,Tienen
571,TILFF,99,33,42,50.5706107,5.583520399999999,Tilff
572,TILLY,241,60,39,50.5579878,4.5526715,Tilly
573,TOLLEMBEEK,284,38,28,50.7354019,3.9929037,Herne
574,TOLLEMBEEK,284,38,28,50.7354019,3.9929037,Tollembeek
575,TONGEREN,1032,358,434,50.7845779,5.4733528,Tongeren
576,TORHOUT,2000,497,670,51.0648204,3.1055087,Torhout
577,TOURNAI,6395,1801,1944,50.6128386,3.3968084000000003,Tournai
578,TROIS-PONTS,165,89,119,50.3689359,5.8730916,Trois-Ponts
579,TROOZ,115,41,27,50.57321029999999,5.688945299999999,Trooz
580,TUBIZE,3017,945,828,50.69181210000001,4.2056288,Tubize
581,TURNHOUT,1415,563,955,51.3221159,4.9378980000000015,Turnhout
582,UCCLE/UKKEL-CALEVOET,835,173,151,50.791711600000006,4.331997299999999,Ukkel-Kalevoet/Uccle-Calevoet
583,UCCLE/UKKEL-STALLE,239,66,80,50.8023094,4.3240671,Ukkel-Stalle/Uccle-Stalle
584,VELTEM,317,63,50,50.900408,4.6320517,Veltem
585,VERTRIJK,428,59,81,50.83591209999999,4.8356251,Vertrijk
586,VERVIERS-CENTRAL,4127,2117,2264,50.588354,5.855042900000001,Verviers-Central
587,VERVIERS-PALAIS,122,29,21,50.5908784,5.8645469000000015,Verviers-Palais
588,VEURNE,436,255,330,51.0737744,2.6700037,Veurne
589,VIANE-MOERBEKE,466,57,42,50.7518736,3.917109200000001,Viane-Moerbeke
590,VICHTE,210,9,9,50.8338462,3.3916508000000003,Vichte
591,VIELSALM,254,146,201,50.2787477,5.9095474,Vielsalm
592,VIJFHUIZEN,43,9,9,50.943461,3.9833879,Vijfhuizen
593,VILLE-POMMEROEUL,37,9,9,50.46495170000001,3.7236222,Ville-Pommerœul
594,VILLERS-LA-VILLE,270,51,46,50.57816030000001,4.5334837,Villers-la-Ville
595,VILVOORDE,5482,1541,1170,50.9245777,4.432761599999999,Vilvoorde
596,VIRTON,356,75,182,49.5605519,5.519518799999998,Nîmes
597,VIRTON,356,75,182,49.5605519,5.519518799999998,Béziers
598,VIRTON,356,75,182,49.5605519,5.519518799999998,Avignon TGV
599,VIRTON,356,75,182,49.5605519,5.519518799999998,Lyon Part Dieu TGV
600,VIRTON,356,75,182,49.5605519,5.519518799999998,Marseille-Saint-Charles
601,VIRTON,356,75,182,49.5605519,5.519518799999998,Narbonne
602,VIRTON,356,75,182,49.5605519,5.519518799999998,Sète
603,VIRTON,356,75,182,49.5605519,5.519518799999998,Lyon-Saint Exupéry TGV
604,VIRTON,356,75,182,49.5605519,5.519518799999998,Aix-en-Provence TGV
605,VIRTON,356,75,182,49.5605519,5.519518799999998,Valence TGV
606,VIRTON,356,75,182,49.5605519,5.519518799999998,Perpignan
607,VIRTON,356,75,182,49.5605519,5.519518799999998,Lyon-Perrache TGV
608,VIRTON,356,75,182,49.5605519,5.519518799999998,Montpellier
609,VIRTON,356,75,182,49.5605519,5.519518799999998,Agde
610,VIRTON,356,75,182,49.5605519,5.519518799999998,Virton
611,VISE,683,210,234,50.73781470000001,5.6923587,Maastricht Randwyck
612,VISE,683,210,234,50.73781470000001,5.6923587,Maastricht
613,VISE,683,210,234,50.73781470000001,5.6923587,Visé
614,VISE,683,210,234,50.73781470000001,5.6923587,Eijsden
615,VIVIER-D'OIE/DIESDELLE,451,9,9,50.79593660000001,4.3733331,Diesdelle/Vivier d'Oie
616,VIVILLE,31,2,3,49.68813660000001,5.7863248,Viville
617,VOROUX,63,9,9,50.66077429999999,5.4306773,Voroux
618,WAARSCHOOT,184,44,22,51.1542579,3.615383899999999,Waarschoot
619,WALCOURT,361,45,90,50.2592235,4.4361685999999985,Walcourt
620,WAREGEM,2422,908,1143,50.8918121,3.4244164,Waregem
621,WAREMME,2644,609,548,50.69470820000001,5.2496686,Waremme
622,WATERLOO,1891,390,442,50.7150317,4.3835121,Waterloo
